	sequences per sample	iteration	iowa_corn	iowa_prairie	kansas_corn	kansas_prairie	wisconsin_corn	wisconsin_prairie	wisconsin_restored	wisconsin_switchgrass
alpha_rarefaction_499700_9.biom	499700	9	24027356.5943	12348314.6641	75680596.7656	55105619.7955	74576073.944	31254592.2592	40610122.9262	60937699.4407
alpha_rarefaction_599638_0.biom	599638	0	23716078.4372	12618066.9445	75873491.7969	56072761.041	74043520.6639	31312592.7774	39766434.1427	62898494.1304
alpha_rarefaction_599638_1.biom	599638	1	23533854.9794	12444667.1053	75074754.1592	55074430.0313	76672581.8559	31023318.9657	40155221.2147	65483776.1104
alpha_rarefaction_599638_2.biom	599638	2	23828414.4818	12641752.4927	78646797.2876	56366828.8827	74576409.7699	31336355.5696	39651808.8351	65034869.0384
alpha_rarefaction_599638_3.biom	599638	3	24007133.0805	12358223.2604	76906439.2981	57992949.5254	74920224.4304	30962949.3054	40875979.9342	63550348.0986
alpha_rarefaction_599638_4.biom	599638	4	23693143.0598	12523764.7743	76048565.1476	55557765.8149	73977341.5778	31504690.5271	41630475.7054	63008168.2688
alpha_rarefaction_599638_5.biom	599638	5	23538297.3397	12616624.8887	74477443.7555	55806266.833	75917482.8582	30772031.2195	39946623.5655	63847631.3918
alpha_rarefaction_599638_6.biom	599638	6	23854244.7677	12394331.0563	76107394.7716	57187443.12	76814998.5498	31739738.1964	39906707.2289	63621917.2749
alpha_rarefaction_599638_7.biom	599638	7	24069430.7466	12392999.7262	77637613.7147	55879431.1663	76049827.7974	31021233.2188	40721579.6046	62629691.0032
alpha_rarefaction_599638_8.biom	599638	8	24323512.9314	12477184.8399	76900774.3287	54575331.1382	73364800.3586	30421331.1744	40472288.0183	64203213.8965
alpha_rarefaction_599638_9.biom	599638	9	23939416.5514	12432348.4135	77951477.3227	55469397.6014	72353048.4044	31441342.2497	40322053.5537	63262810.9584
alpha_rarefaction_699576_0.biom	699576	0	24092076.61	12718508.5457	75562953.9323	57439536.8076	76018216.4998	31390248.4852	40991345.0304	64270478.5307
alpha_rarefaction_699576_1.biom	699576	1	24277867.8293	12759075.672	77388699.5592	56482509.9018	75428503.9007	31249136.9928	41003800.3637	64230066.1939
alpha_rarefaction_699576_2.biom	699576	2	24044083.0309	12603695.2362	76251805.4649	56948059.3049	74979368.095	31780384.7912	41308570.8902	64701791.6544
alpha_rarefaction_699576_3.biom	699576	3	24109025.1477	12658889.3614	79801330.5779	57855914.5487	76604233.9757	31662420.5292	40397964.2009	63923362.7148
alpha_rarefaction_699576_4.biom	699576	4	23979899.7434	12762008.5718	77187927.0522	58312638.5967	72973209.4375	31206520.6035	40564437.8116	65437381.3068
alpha_rarefaction_699576_5.biom	699576	5	24145246.8105	12728067.7257	76117245.71	57054534.6712	76503753.36	31469817.789	40147282.5512	64738289.1194
alpha_rarefaction_699576_6.biom	699576	6	24065159.587	12651835.1269	77467363.3967	56610277.8727	76508803.8428	31462261.9879	41467257.9172	64358570.8906
alpha_rarefaction_699576_7.biom	699576	7	23938346.7126	12759229.2012	76259678.9833	57418460.52	74420778.557	31208138.8342	40400920.4637	64776491.0779
alpha_rarefaction_699576_8.biom	699576	8	24186437.9434	12662580.7361	76993263.9641	55271257.8228	76948769.1699	31096693.9146	40322263.4788	63309725.0322
alpha_rarefaction_699576_9.biom	699576	9	24126891.777	12667057.0013	77616682.4584	57470007.315	76244649.5636	30882830.8968	40162906.2058	64091674.718
alpha_rarefaction_799514_0.biom	799514	0	24116254.3327	12937150.3144	77845864.0766	57908300.5156	76177577.3238	31334619.0334	40626434.7757	65041044.065
alpha_rarefaction_799514_1.biom	799514	1	24262254.1526	12816716.6786	78060871.6053	56431988.5022	75174906.7095	31734274.8571	40660144.2823	65240887.8266
alpha_rarefaction_799514_2.biom	799514	2	24219748.4892	12887744.5996	79148497.6197	56433690.4161	76001437.3838	31376881.4894	41007175.3132	64296432.883
alpha_rarefaction_799514_3.biom	799514	3	24548727.1516	12834591.0498	78138058.9456	56821356.2339	76293090.2021	31588455.7263	40288115.1047	64220773.2603
alpha_rarefaction_799514_4.biom	799514	4	24310371.0521	12893236.8817	78273112.7355	57032349.925	74267724.3775	31341385.7711	41102009.9992	63503976.0878
alpha_rarefaction_799514_5.biom	799514	5	24153721.1967	12833982.2879	76931088.4019	57095825.8016	75738036.1546	31651199.3411	40898680.6472	63918631.2828
alpha_rarefaction_799514_6.biom	799514	6	24453482.4861	12855020.5474	78842072.3846	57619800.2192	75086153.7498	31500645.0423	40331989.3403	64654229.04
alpha_rarefaction_799514_7.biom	799514	7	24355674.5097	12828316.648	77594873.2946	57574872.2052	76540785.8595	31391678.7436	40879688.8866	65174789.3962
alpha_rarefaction_799514_8.biom	799514	8	24212752.3884	12994680.9529	77270617.8154	56450910.0889	76535401.6864	31629453.9552	41091634.7342	64527541.8815
alpha_rarefaction_799514_9.biom	799514	9	24064042.4826	12934126.042	77904989.8494	58104551.753	74322187.1482	31778512.0843	40942819.5975	65105063.52
alpha_rarefaction_899452_0.biom	899452	0	24408139.6364	13028495.062	78623754.1527	56821951.2216	75474646.6277	31746052.2037	41167426.6484	64474028.1303
alpha_rarefaction_899452_1.biom	899452	1	24460380.312	13008847.078	78096967.8798	57350845.1009	75706772.9958	32020476.4155	40970225.2225	64431462.3558
alpha_rarefaction_899452_2.biom	899452	2	24375672.4436	13040697.4436	78202066.9115	56762770.5659	75577496.9858	31786979.5139	41146683.8697	64532784.2057
alpha_rarefaction_899452_3.biom	899452	3	24478635.327	13117887.3599	78638350.4805	57845813.7864	76132234.6571	31837472.4404	40926855.3512	65491667.4996
alpha_rarefaction_899452_4.biom	899452	4	24439433.1948	13120222.4726	77904617.22	57674213.7177	75319243.3491	31686098.2665	41107240.4897	64895765.852
alpha_rarefaction_899452_5.biom	899452	5	24460514.0274	13061603.4929	78622520.7327	57345588.9183	75181158.0785	31850322.4736	40896122.1957	65069526.0436
alpha_rarefaction_899452_6.biom	899452	6	24494297.1316	13086332.9551	78373282.02	57727911.2434	75869374.7479	31706659.9164	41092079.353	64803828.9432
alpha_rarefaction_899452_7.biom	899452	7	24380640.1436	12997185.7693	78306050.6616	57314846.0671	75479702.8182	31816402.467	40914729.1109	64847751.2547
alpha_rarefaction_899452_8.biom	899452	8	24441457.6162	13079253.9137	78466868.6826	57779249.02	76474476.7835	31473976.7102	41348623.6045	64156128.632
alpha_rarefaction_899452_9.biom	899452	9	24399110.7465	13080902.338	77904098.2487	58347517.7499	76543307.7963	31663372.9645	40996458.3043	64702905.095
alpha_rarefaction_999390_0.biom	999390	0	n/a	13248985.3753	n/a	57692909.1144	n/a	31967342.801	41342990.9712	n/a
alpha_rarefaction_999390_1.biom	999390	1	n/a	13239649.6895	n/a	57692909.1144	n/a	31967342.801	41360726.3342	n/a
alpha_rarefaction_999390_2.biom	999390	2	n/a	13242002.5615	n/a	57679100.1622	n/a	31971704.9472	41342740.5315	n/a
alpha_rarefaction_999390_3.biom	999390	3	n/a	13242495.3797	n/a	57692909.1144	n/a	31971704.9472	41349933.0178	n/a
alpha_rarefaction_999390_4.biom	999390	4	n/a	13244741.3679	n/a	57686003.8256	n/a	31971704.9472	41360559.636	n/a
alpha_rarefaction_999390_5.biom	999390	5	n/a	13244466.1583	n/a	57699816.0292	n/a	31965162.1614	41357127.9503	n/a
alpha_rarefaction_999390_6.biom	999390	6	n/a	13243398.6346	n/a	57686003.8256	n/a	31971899.1457	41389535.4497	n/a
alpha_rarefaction_999390_7.biom	999390	7	n/a	13241346.8537	n/a	57679100.1622	n/a	31967342.801	41353614.013	n/a
alpha_rarefaction_999390_8.biom	999390	8	n/a	13243617.4132	n/a	57686003.8256	n/a	31973886.4539	41342740.5315	n/a
alpha_rarefaction_999390_9.biom	999390	9	n/a	13240004.7303	n/a	57686003.8256	n/a	31962981.8106	41364325.33	n/a
