	sequences per sample	iteration	iowa_corn	iowa_prairie	kansas_corn	kansas_prairie	wisconsin_corn	wisconsin_prairie	wisconsin_restored	wisconsin_switchgrass
alpha_rarefaction_10_0.biom	10	0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_1.biom	10	1	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_2.biom	10	2	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_3.biom	10	3	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_4.biom	10	4	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_5.biom	10	5	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_6.biom	10	6	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_7.biom	10	7	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_8.biom	10	8	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_9.biom	10	9	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_99948_0.biom	99948	0	20025165.8992	10897129.1806	56660947.9432	53037923.5213	73350878.3382	24875006.375	45725400.055	61560032.5556
alpha_rarefaction_99948_1.biom	99948	1	19633351.2174	11173759.5598	63127360.3291	61562498.3457	72286375.6232	33418675.4698	35576275.65	63123568.8354
alpha_rarefaction_99948_2.biom	99948	2	21232605.5	10238757.3354	60076660.2651	47022337.8396	67395417.6081	31508142.5949	37456207.6241	53602856.3333
alpha_rarefaction_99948_3.biom	99948	3	23446780.9292	10899973.641	61562498.3457	64761844.039	73355283.8088	26184735.0	36355316.1387	57965874.1163
alpha_rarefaction_99948_4.biom	99948	4	19399384.7305	11223531.737	56019822.0	44497941.2411	70251547.4085	29108712.9006	38318277.2	58664267.6471
alpha_rarefaction_99948_5.biom	99948	5	22593270.5	11731904.1611	80463842.2419	41174987.0496	71239449.6143	28937157.8837	38029580.0458	54186580.3913
alpha_rarefaction_99948_6.biom	99948	6	19953143.6667	10778211.4139	64765734.0	57309927.5632	60073051.7952	28767586.2717	39230502.0	59350765.75
alpha_rarefaction_99948_7.biom	99948	7	21051825.4703	12198394.5246	72290717.1884	47468267.8667	68320009.6164	28116910.6836	35071690.1127	67390020.2027
alpha_rarefaction_99948_8.biom	99948	8	20878688.084	11222404.7211	76745519.2308	55399598.6111	60063429.0723	26609606.9412	38920896.3047	68324113.0685
alpha_rarefaction_99948_9.biom	99948	9	21237287.735	11788005.2571	71256566.7857	42592058.2393	75566065.8182	29986679.3976	31513823.6646	53034737.6915
alpha_rarefaction_199886_0.biom	199886	0	22443335.0465	11155807.8145	74617268.6742	53787275.7027	65502118.0493	29213073.4477	38359169.4112	60696525.5457
alpha_rarefaction_199886_1.biom	199886	1	20465484.6957	11369602.4696	71143640.7857	49368039.1117	67514004.7559	29343892.7811	37276290.0056	58543158.8618
alpha_rarefaction_199886_2.biom	199886	2	21605493.2295	11509821.4302	72966370.3077	54524630.2082	71396489.681	29609639.7015	35028756.8889	56222833.1808
alpha_rarefaction_199886_3.biom	199886	3	22074048.8627	11719490.7294	69156351.0	54085556.4728	67050634.3535	30909995.1869	39752038.762	60880921.3853
alpha_rarefaction_199886_4.biom	199886	4	21507782.1915	11688261.0638	78750221.004	60701998.8933	68673909.0034	30861305.0171	38512864.843	59596620.3353
alpha_rarefaction_199886_5.biom	199886	5	21954423.2264	11646737.2102	72162417.2826	57040885.2579	75166108.6226	31051372.4085	40479467.8859	57529693.6127
alpha_rarefaction_199886_6.biom	199886	6	21862218.6033	11616449.048	71393630.0968	54225864.4469	64854237.0	29429784.5534	38439528.7234	64022024.926
alpha_rarefaction_199886_7.biom	199886	7	22978032.3484	11468977.9754	74323212.5	53638534.3423	74323213.5	31251356.622	36788289.0944	59067863.8902
alpha_rarefaction_199886_8.biom	199886	8	20844842.2943	11002389.9388	69883610.2316	52504750.4142	64853586.0	28914695.5802	36052058.9129	62021985.5047
alpha_rarefaction_199886_9.biom	199886	9	22498693.1604	11132488.9983	69888510.3684	50758953.1964	67735501.2381	29788966.7477	38886191.8219	61436013.7809
alpha_rarefaction_299824_0.biom	299824	0	23237645.7329	11635054.1653	73361462.7148	55803851.3496	73726499.2059	30721433.5725	41500262.8465	60828577.3918
alpha_rarefaction_299824_1.biom	299824	1	23048077.1998	11991222.1031	72753849.2455	53001647.968	76904215.201	29548439.4252	38946761.0838	60740248.9986
alpha_rarefaction_299824_2.biom	299824	2	23183541.2147	11831315.5984	69797722.8892	54105124.753	70121237.7586	30488184.8019	41649963.1204	58208649.8411
alpha_rarefaction_299824_3.biom	299824	3	22674955.7634	11912028.3632	75852330.678	54636456.0257	69907248.2047	29996406.2353	39255050.1549	64069258.5415
alpha_rarefaction_299824_4.biom	299824	4	22761553.9692	11807345.0489	77839916.8887	55108771.9014	73602288.2155	30156872.1037	38842907.7622	64712666.3893
alpha_rarefaction_299824_5.biom	299824	5	22680640.5312	11508060.7092	71367638.7895	54906404.9398	72635741.3766	29611222.1644	38638111.0832	64344523.4863
alpha_rarefaction_299824_6.biom	299824	6	22209050.0687	11725045.9171	74594111.985	56222376.7811	76368048.7611	30469141.1541	39220262.4019	61843959.4122
alpha_rarefaction_299824_7.biom	299824	7	23553581.0957	11832989.036	72172433.2661	54506475.8549	70232722.9137	30264306.1878	37778441.0381	59766613.254
alpha_rarefaction_299824_8.biom	299824	8	23106328.8153	11715997.1538	75222960.5042	54229559.4199	76368048.7611	31738513.1619	38913818.5218	61673769.9007
alpha_rarefaction_299824_9.biom	299824	9	22872212.0584	11701820.0988	76243555.2658	55306727.5074	66964493.3039	30114830.218	40505082.9709	62535911.5678
alpha_rarefaction_399762_0.biom	399762	0	23087963.1488	11900616.4804	76535016.5751	54574841.5114	74461983.4677	30855657.1128	40038135.5828	61316871.5719
alpha_rarefaction_399762_1.biom	399762	1	23048504.6618	11984601.6539	77905146.4265	55576984.0589	73202455.5558	30848233.108	40642940.3613	63378882.4609
alpha_rarefaction_399762_2.biom	399762	2	23268874.9798	11995358.6437	79307409.5269	55968911.6401	73560159.6259	30780092.8117	39814781.7598	64005698.95
alpha_rarefaction_399762_3.biom	399762	3	22939187.3821	12015848.2362	74522122.0094	56649091.675	71164793.9848	30465758.3378	38829053.6326	63894939.6787
alpha_rarefaction_399762_4.biom	399762	4	23611679.7744	11884480.5829	78061332.5521	55767921.2539	73014520.5055	31496039.2397	39892528.1488	63389689.2907
alpha_rarefaction_399762_5.biom	399762	5	23176969.3943	12158744.7258	77986681.9107	56048861.983	70531726.1794	30811594.0098	40014860.6432	63185914.1887
alpha_rarefaction_399762_6.biom	399762	6	23248404.9872	12017498.387	73011594.6857	57974193.5154	77365229.7722	30129114.0138	39232723.5598	62283192.3893
alpha_rarefaction_399762_7.biom	399762	7	23529095.5272	11748521.7543	73827324.8048	55612051.1234	74107251.6959	30715229.6422	40143783.5487	63288274.6435
alpha_rarefaction_399762_8.biom	399762	8	23888767.3026	11957619.8392	76915487.5934	55535000.7962	72864840.3789	30607266.8951	40003056.9605	59117525.5499
alpha_rarefaction_399762_9.biom	399762	9	23174085.3043	12154153.1983	78588809.185	55620141.4818	70031342.4497	31477601.0355	39119197.7269	62140301.8465
alpha_rarefaction_499700_0.biom	499700	0	23235681.8289	12323626.7378	77546966.0019	55729798.2907	74174711.6164	30559896.8887	39178324.8884	64787818.978
alpha_rarefaction_499700_1.biom	499700	1	23563001.2601	12250911.6503	78924636.3361	54443053.4624	76376968.4159	31617372.3062	39279051.7478	64548005.5407
alpha_rarefaction_499700_2.biom	499700	2	23314890.451	12455910.9583	75318213.1974	55619918.5452	71089060.3769	31105741.0005	39477346.8738	61508453.2624
alpha_rarefaction_499700_3.biom	499700	3	24326894.5042	12137889.2947	77248397.4953	55529608.6035	73555190.1994	30425478.2581	39721691.8201	62507773.7727
alpha_rarefaction_499700_4.biom	499700	4	24023204.8186	12614984.2387	72230479.3485	55429380.9198	74174119.7056	30552902.1103	39304592.2183	64416257.5401
alpha_rarefaction_499700_5.biom	499700	5	23910372.0078	12361542.4843	76718579.4072	55576841.6899	73813887.2609	31006198.6117	40867092.8196	60565914.8948
alpha_rarefaction_499700_6.biom	499700	6	23576495.0489	12165277.0021	73155010.6659	58415192.4745	76432027.074	30806347.5417	40154110.8935	61654253.6936
alpha_rarefaction_499700_7.biom	499700	7	23266553.8442	12415890.9569	78030599.983	55380184.721	74752689.8269	30498271.8009	41452034.5229	63814236.8582
alpha_rarefaction_499700_8.biom	499700	8	23553717.0296	12284778.6194	74992041.9673	55578181.7438	73642298.9418	30920894.9526	40360477.96	60935252.8419
