	sequences per sample	iteration	iowa_corn	iowa_prairie	kansas_corn	kansas_prairie	wisconsin_corn	wisconsin_prairie	wisconsin_restored	wisconsin_switchgrass
alpha_rarefaction_499700_1.biom	499700	1	493891.0	488774.0	498018.0	497317.0	497958.0	495598.0	496405.0	497647.0
alpha_rarefaction_499700_2.biom	499700	2	493914.0	488935.0	497973.0	497337.0	497844.0	495542.0	496452.0	497553.0
alpha_rarefaction_499700_3.biom	499700	3	494092.0	488764.0	497998.0	497365.0	497912.0	495465.0	496470.0	497575.0
alpha_rarefaction_499700_4.biom	499700	4	494023.0	489113.0	497916.0	497359.0	497922.0	495459.0	496409.0	497651.0
alpha_rarefaction_499700_5.biom	499700	5	494024.0	488993.0	497986.0	497356.0	497899.0	495510.0	496551.0	497513.0
alpha_rarefaction_499700_6.biom	499700	6	493925.0	488729.0	497885.0	497481.0	497974.0	495515.0	496503.0	497530.0
alpha_rarefaction_499700_7.biom	499700	7	493843.0	488954.0	498012.0	497363.0	497916.0	495449.0	496595.0	497632.0
alpha_rarefaction_499700_8.biom	499700	8	493921.0	488834.0	497952.0	497361.0	497908.0	495509.0	496489.0	497549.0
alpha_rarefaction_499700_9.biom	499700	9	494020.0	488869.0	497964.0	497347.0	497922.0	495541.0	496540.0	497556.0
alpha_rarefaction_599638_0.biom	599638	0	591393.0	584276.0	597105.0	596301.0	597081.0	593615.0	594986.0	596615.0
alpha_rarefaction_599638_1.biom	599638	1	591306.0	584034.0	597096.0	596253.0	597150.0	593616.0	595004.0	596705.0
alpha_rarefaction_599638_2.biom	599638	2	591415.0	584181.0	597203.0	596342.0	597098.0	593662.0	594990.0	596719.0
alpha_rarefaction_599638_3.biom	599638	3	591508.0	583985.0	597166.0	596399.0	597098.0	593575.0	595109.0	596626.0
alpha_rarefaction_599638_4.biom	599638	4	591405.0	584221.0	597144.0	596268.0	597062.0	593674.0	595158.0	596612.0
alpha_rarefaction_599638_5.biom	599638	5	591345.0	584213.0	597089.0	596291.0	597132.0	593554.0	594997.0	596639.0
alpha_rarefaction_599638_6.biom	599638	6	591511.0	584050.0	597127.0	596373.0	597183.0	593696.0	594975.0	596639.0
alpha_rarefaction_599638_7.biom	599638	7	591480.0	584035.0	597154.0	596302.0	597138.0	593601.0	595085.0	596609.0
alpha_rarefaction_599638_8.biom	599638	8	591555.0	584123.0	597146.0	596211.0	597045.0	593498.0	595038.0	596673.0
alpha_rarefaction_599638_9.biom	599638	9	591455.0	584048.0	597178.0	596261.0	597043.0	593695.0	595019.0	596646.0
alpha_rarefaction_699576_0.biom	699576	0	688553.0	678735.0	696146.0	695122.0	696160.0	691435.0	693370.0	695565.0
alpha_rarefaction_699576_1.biom	699576	1	688659.0	678751.0	696220.0	695034.0	696154.0	691412.0	693362.0	695538.0
alpha_rarefaction_699576_2.biom	699576	2	688591.0	678584.0	696153.0	695096.0	696134.0	691536.0	693427.0	695578.0
alpha_rarefaction_699576_3.biom	699576	3	688584.0	678656.0	696300.0	695151.0	696195.0	691499.0	693300.0	695528.0
alpha_rarefaction_699576_4.biom	699576	4	688520.0	678766.0	696203.0	695197.0	696048.0	691393.0	693321.0	695589.0
alpha_rarefaction_699576_5.biom	699576	5	688576.0	678734.0	696180.0	695095.0	696183.0	691477.0	693238.0	695589.0
alpha_rarefaction_699576_6.biom	699576	6	688522.0	678763.0	696234.0	695069.0	696201.0	691486.0	693443.0	695574.0
alpha_rarefaction_699576_7.biom	699576	7	688503.0	678816.0	696175.0	695092.0	696110.0	691404.0	693277.0	695598.0
alpha_rarefaction_699576_8.biom	699576	8	688603.0	678700.0	696210.0	694963.0	696212.0	691355.0	693249.0	695477.0
alpha_rarefaction_699576_9.biom	699576	9	688614.0	678695.0	696235.0	695139.0	696201.0	691334.0	693256.0	695527.0
alpha_rarefaction_799514_0.biom	799514	0	785158.0	772660.0	795158.0	793731.0	795063.0	788923.0	791348.0	794319.0
alpha_rarefaction_799514_1.biom	799514	1	785349.0	772485.0	795175.0	793578.0	795020.0	788935.0	791363.0	794314.0
alpha_rarefaction_799514_2.biom	799514	2	785179.0	772506.0	795232.0	793585.0	795083.0	788906.0	791392.0	794237.0
alpha_rarefaction_799514_3.biom	799514	3	785378.0	772499.0	795174.0	793646.0	795078.0	788913.0	791269.0	794248.0
alpha_rarefaction_799514_4.biom	799514	4	785272.0	772518.0	795172.0	793632.0	794984.0	788869.0	791418.0	794207.0
alpha_rarefaction_799514_5.biom	799514	5	785204.0	772404.0	795123.0	793690.0	795046.0	788931.0	791374.0	794230.0
alpha_rarefaction_799514_6.biom	799514	6	785341.0	772377.0	795193.0	793767.0	795022.0	788889.0	791290.0	794309.0
alpha_rarefaction_799514_7.biom	799514	7	785318.0	772444.0	795143.0	793701.0	795111.0	788847.0	791390.0	794317.0
alpha_rarefaction_799514_8.biom	799514	8	785211.0	772625.0	795132.0	793623.0	795090.0	788966.0	791420.0	794272.0
alpha_rarefaction_799514_9.biom	799514	9	785149.0	772587.0	795163.0	793759.0	794992.0	789010.0	791391.0	794304.0
alpha_rarefaction_899452_0.biom	899452	0	881505.0	865559.0	893987.0	892010.0	893794.0	886119.0	889230.0	892828.0
alpha_rarefaction_899452_1.biom	899452	1	881538.0	865494.0	893957.0	892094.0	893809.0	886252.0	889180.0	892822.0
alpha_rarefaction_899452_2.biom	899452	2	881576.0	865587.0	893953.0	891995.0	893808.0	886120.0	889202.0	892810.0
alpha_rarefaction_899452_3.biom	899452	3	881639.0	865797.0	893982.0	892132.0	893848.0	886165.0	889198.0	892913.0
alpha_rarefaction_899452_4.biom	899452	4	881543.0	865783.0	893917.0	892103.0	893793.0	886103.0	889191.0	892848.0
alpha_rarefaction_899452_5.biom	899452	5	881605.0	865558.0	893978.0	892069.0	893809.0	886169.0	889155.0	892875.0
alpha_rarefaction_899452_6.biom	899452	6	881647.0	865673.0	893968.0	892122.0	893832.0	886156.0	889205.0	892859.0
alpha_rarefaction_899452_7.biom	899452	7	881564.0	865505.0	893939.0	892079.0	893813.0	886136.0	889140.0	892871.0
alpha_rarefaction_899452_8.biom	899452	8	881526.0	865655.0	893972.0	892130.0	893883.0	886016.0	889277.0	892790.0
alpha_rarefaction_899452_9.biom	899452	9	881515.0	865578.0	893918.0	892156.0	893867.0	886103.0	889184.0	892828.0
alpha_rarefaction_999390_0.biom	999390	0	n/a	958042.0	n/a	990316.0	n/a	983030.0	986775.0	n/a
alpha_rarefaction_999390_1.biom	999390	1	n/a	958022.0	n/a	990316.0	n/a	983030.0	986778.0	n/a
alpha_rarefaction_999390_2.biom	999390	2	n/a	958034.0	n/a	990314.0	n/a	983032.0	986773.0	n/a
alpha_rarefaction_999390_3.biom	999390	3	n/a	958028.0	n/a	990316.0	n/a	983032.0	986775.0	n/a
alpha_rarefaction_999390_4.biom	999390	4	n/a	958039.0	n/a	990315.0	n/a	983032.0	986777.0	n/a
alpha_rarefaction_999390_5.biom	999390	5	n/a	958040.0	n/a	990317.0	n/a	983029.0	986777.0	n/a
alpha_rarefaction_999390_6.biom	999390	6	n/a	958032.0	n/a	990315.0	n/a	983034.0	986786.0	n/a
alpha_rarefaction_999390_7.biom	999390	7	n/a	958028.0	n/a	990314.0	n/a	983030.0	986777.0	n/a
alpha_rarefaction_999390_8.biom	999390	8	n/a	958028.0	n/a	990315.0	n/a	983033.0	986773.0	n/a
alpha_rarefaction_999390_9.biom	999390	9	n/a	958021.0	n/a	990315.0	n/a	983028.0	986779.0	n/a
